Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
0.06%     main             2885  2885  /system/bin/linker                          [linker]bool soinfo::relocate<packed_reloc_iterator<sleb128_decoder> >(VersionTracker const&, packed_reloc_iterator<sleb128_decoder>&&, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&)
0.06%     main             2885  2885  /system/lib/libart.so                       art::CodeInfoEncoding::CodeInfoEncoding(void const*)
0.06%     main             2885  2885  /system/lib/libart.so                       art::QuickArgumentVisitor::VisitArguments()
0.06%     main             2885  2885  /system/framework/arm/boot-core-libart.oat  unknown
0.06%     am               2885  2885  /system/bin/linker                          [linker]LinkerMemoryAllocator::get_page_info(void*)
0.06%     am               2885  2885  /system/lib/libc.so                         strcmp
0.06%     am               2885  2885  /system/lib/libc.so                         isspace
0.06%     main             2885  2885  /system/lib/libart.so                       art::ClassTable::Lookup(char const*, unsigned int)
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]_rs_stir_if_needed
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]std::__1::__hash_iterator<std::__1::__hash_node<std::__1::__hash_value_type<soinfo const*, ElfReader>, void*>*> std::__1::__hash_table<std::__1::__hash_value_type<soinfo const*, ElfReader>, std::__1::__unordered_map_hasher<soinfo const*, std::__1::__hash_value_type<soinfo const*, ElfReader>, std::__1::hash<soinfo const*>, true>, std::__1::__unordered_map_equal<soinfo const*, std::__1::__hash_value_type<soinfo const*, ElfReader>, std::__1::equal_to<soinfo const*>, true>, std::__1::allocator<std::__1::__hash_value_type<soinfo const*, ElfReader> > >::find<soinfo const*>(soinfo const* const&)
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]munmap
0.06%     am               2885  2885  /system/bin/linker                          [linker]realpath_fd(int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
